full_text,cleansing,Tokenization and Case Folding,stopword removal,stemming_data
"APPI Sebut Kredit Kendaraan Listrik Masih Kecil, Kenapa Ya? https://t.co/MiMQkiTxvo",APPI Sebut Kredit Kendaraan Listrik Masih Kecil Kenapa Ya,"['appi', 'sebut', 'kredit', 'kendaraan', 'listrik', 'masih', 'kecil', 'kenapa', 'ya']","['appi', 'kredit', 'kendaraan', 'listrik', 'ya']",appi kredit kendara listrik yaa
Lagi pula kita lagi pelan2 migrasi ke kendaraan listrik.  Kenapa?  Cadangan minyak bumi Indonesia udh mau abis. Klo abis gimana? Hrs impor. Mahal lagi biayanya. Trs lu orang msh minta subsidi. Uangnya dari mana? Ngutang protes. Subsidi ditarik protes. Lu orang maunya apa?,Lagi pula kita lagi pelan migrasi ke kendaraan listrik  Kenapa  Cadangan minyak bumi Indonesia udh mau abis Klo abis gimana Hrs impor Mahal lagi biayanya Trs lu orang msh minta subsidi Uangnya dari mana Ngutang protes Subsidi ditarik protes Lu orang maunya apa,"['lagi', 'pula', 'kita', 'lagi', 'pelan', 'migrasi', 'ke', 'kendaraan', 'listrik', 'kenapa', 'cadangan', 'minyak', 'bumi', 'indonesia', 'udh', 'mau', 'abis', 'klo', 'abis', 'gimana', 'hrs', 'impor', 'mahal', 'lagi', 'biayanya', 'trs', 'lu', 'orang', 'msh', 'minta', 'subsidi', 'uangnya', 'dari', 'mana', 'ngutang', 'protes', 'subsidi', 'ditarik', 'protes', 'lu', 'orang', 'maunya', 'apa']","['pelan', 'migrasi', 'kendaraan', 'listrik', 'cadangan', 'minyak', 'bumi', 'indonesia', 'udh', 'abis', 'klo', 'abis', 'gimana', 'hrs', 'impor', 'mahal', 'biayanya', 'trs', 'lu', 'orang', 'msh', 'subsidi', 'uangnya', 'ngutang', 'protes', 'subsidi', 'ditarik', 'protes', 'lu', 'orang', 'maunya']",pelan migrasi kendara listrik cadang minyak bumi indonesia udh abis klo abis gimana hrs impor mahal biaya trs lu orang msh subsidi uang ngutang protes subsidi tarik protes lu orang mau
"ABeam Consulting Indonesia Terbitkan Laporan untuk Tingkatkan Penggunaan Kendaraan Listrik di Indonesia Sabtu, 21/10/2023, 09:40 WIB https://t.co/qRLJygNx18",ABeam Consulting Indonesia Terbitkan Laporan untuk Tingkatkan Penggunaan Kendaraan Listrik di Indonesia Sabtu   WIB,"['abeam', 'consulting', 'indonesia', 'terbitkan', 'laporan', 'untuk', 'tingkatkan', 'penggunaan', 'kendaraan', 'listrik', 'di', 'indonesia', 'sabtu', 'wib']","['abeam', 'consulting', 'indonesia', 'terbitkan', 'laporan', 'tingkatkan', 'penggunaan', 'kendaraan', 'listrik', 'indonesia', 'sabtu', 'wib']",abeam consulting indonesia terbit lapor tingkat guna kendara listrik indonesia sabtu wib
"Kendaraan Listrik Tetap Keluarkan Emisi, Kok Bisa? https://t.co/SuifLobqqv",Kendaraan Listrik Tetap Keluarkan Emisi Kok Bisa,"['kendaraan', 'listrik', 'tetap', 'keluarkan', 'emisi', 'kok', 'bisa']","['kendaraan', 'listrik', 'keluarkan', 'emisi']",kendara listrik keluar emisi
Mendag @ZUL_Hasan mengajak para produsen kendaraan listrik Tiongkok untuk berproduksi di Indonesia.   #NegosiasiDagang #AyoDagang https://t.co/gJofoghRvW,Mendag ZULHasan mengajak para produsen kendaraan listrik Tiongkok untuk berproduksi di Indonesia   NegosiasiDagang AyoDagang,"['mendag', 'zulhasan', 'mengajak', 'para', 'produsen', 'kendaraan', 'listrik', 'tiongkok', 'untuk', 'berproduksi', 'di', 'indonesia', 'negosiasidagang', 'ayodagang']","['mendag', 'zulhasan', 'mengajak', 'produsen', 'kendaraan', 'listrik', 'tiongkok', 'berproduksi', 'indonesia', 'negosiasidagang', 'ayodagang']",mendag zulhasan ajak produsen kendara listrik tiongkok produksi indonesia negosiasidagang ayodagang
Mendag Zulhas Rayu China untuk Produksi Kendaraan Listrik di Indonesia https://t.co/vI7zz9S25L,Mendag Zulhas Rayu China untuk Produksi Kendaraan Listrik di Indonesia,"['mendag', 'zulhas', 'rayu', 'china', 'untuk', 'produksi', 'kendaraan', 'listrik', 'di', 'indonesia']","['mendag', 'zulhas', 'rayu', 'china', 'produksi', 'kendaraan', 'listrik', 'indonesia']",mendag zulhas rayu china produksi kendara listrik indonesia
Pertemuan Indonesia dengan China (Chongqing) terkait industri kendaraan listrik menjadi peluang yang sangat baik bagi Indonesia dengan China untuk berinovasi dan meningkatkan ekonomi kedua negara. #bambangsuwarso #indonesiachina #EnergiTerbarukan  #indonesiaemas2045 https://t.co/KNDYbIIBit,Pertemuan Indonesia dengan China Chongqing terkait industri kendaraan listrik menjadi peluang yang sangat baik bagi Indonesia dengan China untuk berinovasi dan meningkatkan ekonomi kedua negara bambangsuwarso indonesiachina EnergiTerbarukan  indonesiaemas,"['pertemuan', 'indonesia', 'dengan', 'china', 'chongqing', 'terkait', 'industri', 'kendaraan', 'listrik', 'menjadi', 'peluang', 'yang', 'sangat', 'baik', 'bagi', 'indonesia', 'dengan', 'china', 'untuk', 'berinovasi', 'dan', 'meningkatkan', 'ekonomi', 'kedua', 'negara', 'bambangsuwarso', 'indonesiachina', 'energiterbarukan', 'indonesiaemas']","['pertemuan', 'indonesia', 'china', 'chongqing', 'terkait', 'industri', 'kendaraan', 'listrik', 'peluang', 'indonesia', 'china', 'berinovasi', 'meningkatkan', 'ekonomi', 'negara', 'bambangsuwarso', 'indonesiachina', 'energiterbarukan', 'indonesiaemas']",temu indonesia china chongqing kait industri kendara listrik peluang indonesia china inovasi tingkat ekonomi negara bambangsuwarso indonesiachina energiterbarukan indonesiaemas
Hasil Survei Kecemasan Warga Indonesia Soal Kendaraan Listrik https://t.co/kmxlPlCsej,Hasil Survei Kecemasan Warga Indonesia Soal Kendaraan Listrik,"['hasil', 'survei', 'kecemasan', 'warga', 'indonesia', 'soal', 'kendaraan', 'listrik']","['hasil', 'survei', 'kecemasan', 'warga', 'indonesia', 'kendaraan', 'listrik']",hasil survei cemas warga indonesia kendara listrik
"Bidang investasi hilirisasi mencakup mineral, pertanian, kehutanan, migas, dan kendaraan listrik. https://t.co/1wjO6OXBKC",Bidang investasi hilirisasi mencakup mineral pertanian kehutanan migas dan kendaraan listrik,"['bidang', 'investasi', 'hilirisasi', 'mencakup', 'mineral', 'pertanian', 'kehutanan', 'migas', 'dan', 'kendaraan', 'listrik']","['bidang', 'investasi', 'hilirisasi', 'mencakup', 'mineral', 'pertanian', 'kehutanan', 'migas', 'kendaraan', 'listrik']",bidang investasi hilir cakup mineral tani hutan migas kendara listrik
"Sudah saatnya Indonesia punya mobil listrik, Menteri Perdagangan  Zulkifli Hasan menawarkan NIO untuk menjadi mobil listrik Indonesia yang diproduksi di dalam negeri   Ini untuk memastikan masyarakat bisa mendapatkan kendaraan listrik berkualitas dengan harga terjangkau https://t.co/jfB3iUmQjD",Sudah saatnya Indonesia punya mobil listrik Menteri Perdagangan  Zulkifli Hasan menawarkan NIO untuk menjadi mobil listrik Indonesia yang diproduksi di dalam negeri   Ini untuk memastikan masyarakat bisa mendapatkan kendaraan listrik berkualitas dengan harga terjangkau,"['sudah', 'saatnya', 'indonesia', 'punya', 'mobil', 'listrik', 'menteri', 'perdagangan', 'zulkifli', 'hasan', 'menawarkan', 'nio', 'untuk', 'menjadi', 'mobil', 'listrik', 'indonesia', 'yang', 'diproduksi', 'di', 'dalam', 'negeri', 'ini', 'untuk', 'memastikan', 'masyarakat', 'bisa', 'mendapatkan', 'kendaraan', 'listrik', 'berkualitas', 'dengan', 'harga', 'terjangkau']","['indonesia', 'mobil', 'listrik', 'menteri', 'perdagangan', 'zulkifli', 'hasan', 'menawarkan', 'nio', 'mobil', 'listrik', 'indonesia', 'diproduksi', 'negeri', 'masyarakat', 'kendaraan', 'listrik', 'berkualitas', 'harga', 'terjangkau']",indonesia mobil listrik menteri dagang zulkifli hasan tawar nio mobil listrik indonesia produksi negeri masyarakat kendara listrik kualitas harga jangkau
Menteri Perdagangan Zulkifli Hasan (Zulhas) mengajak para produsen kendaraan listrik Tiongkok berproduksi di Indonesia. #bisnisupdate #update #bisnis #text https://t.co/pdPzPZHzyO,Menteri Perdagangan Zulkifli Hasan Zulhas mengajak para produsen kendaraan listrik Tiongkok berproduksi di Indonesia bisnisupdate update bisnis text,"['menteri', 'perdagangan', 'zulkifli', 'hasan', 'zulhas', 'mengajak', 'para', 'produsen', 'kendaraan', 'listrik', 'tiongkok', 'berproduksi', 'di', 'indonesia', 'bisnisupdate', 'update', 'bisnis', 'text']","['menteri', 'perdagangan', 'zulkifli', 'hasan', 'zulhas', 'mengajak', 'produsen', 'kendaraan', 'listrik', 'tiongkok', 'berproduksi', 'indonesia', 'bisnisupdate', 'update', 'bisnis', 'text']",menteri dagang zulkifli hasan zulhas ajak produsen kendara listrik tiongkok produksi indonesia bisnisupdate update bisnis text
Bamsoet Cerita Suka Duka EV : Indonesia Terlambat Adopsi Kendaraan Listrik https://t.co/GMqXa91T4I,Bamsoet Cerita Suka Duka EV  Indonesia Terlambat Adopsi Kendaraan Listrik,"['bamsoet', 'cerita', 'suka', 'duka', 'ev', 'indonesia', 'terlambat', 'adopsi', 'kendaraan', 'listrik']","['bamsoet', 'cerita', 'suka', 'duka', 'ev', 'indonesia', 'terlambat', 'adopsi', 'kendaraan', 'listrik']",bamsoet cerita suka duka ev indonesia lambat adopsi kendara listrik
AC Ventures Bidik Potensi Pengembangan Ekosistem Kendaraan Listrik Indonesia https://t.co/8IvFmQKFMg #TrenAsia,AC Ventures Bidik Potensi Pengembangan Ekosistem Kendaraan Listrik Indonesia  TrenAsia,"['ac', 'ventures', 'bidik', 'potensi', 'pengembangan', 'ekosistem', 'kendaraan', 'listrik', 'indonesia', 'trenasia']","['ac', 'ventures', 'bidik', 'potensi', 'pengembangan', 'ekosistem', 'kendaraan', 'listrik', 'indonesia', 'trenasia']",ac ventures bidik potensi kembang ekosistem kendara listrik indonesia trenasia
"Yuk, simak perkembangan tren kendaraan listrik di Indonesia beserta keuntungan penggunaannya dengan swipe postingan ini!  #KementerianInvestasi #InvestasiTumbuhIndonesiaMaju",Yuk simak perkembangan tren kendaraan listrik di Indonesia beserta keuntungan penggunaannya dengan swipe postingan ini  KementerianInvestasi InvestasiTumbuhIndonesiaMaju,"['yuk', 'simak', 'perkembangan', 'tren', 'kendaraan', 'listrik', 'di', 'indonesia', 'beserta', 'keuntungan', 'penggunaannya', 'dengan', 'swipe', 'postingan', 'ini', 'kementerianinvestasi', 'investasitumbuhindonesiamaju']","['yuk', 'simak', 'perkembangan', 'tren', 'kendaraan', 'listrik', 'indonesia', 'beserta', 'keuntungan', 'penggunaannya', 'swipe', 'postingan', 'kementerianinvestasi', 'investasitumbuhindonesiamaju']",yuk simak kembang tren kendara listrik indonesia serta untung guna swipe postingan kementerianinvestasi investasitumbuhindonesiamaju
"Dengan segala upaya ini, diharapkan Indonesia dapat berkontribusi dalam menurunkan emisi karbon seiring dengan terus didorongnya penggunaan kendaraan listrik di tengah masyarakat. https://t.co/HHNnnlIMHQ",Dengan segala upaya ini diharapkan Indonesia dapat berkontribusi dalam menurunkan emisi karbon seiring dengan terus didorongnya penggunaan kendaraan listrik di tengah masyarakat,"['dengan', 'segala', 'upaya', 'ini', 'diharapkan', 'indonesia', 'dapat', 'berkontribusi', 'dalam', 'menurunkan', 'emisi', 'karbon', 'seiring', 'dengan', 'terus', 'didorongnya', 'penggunaan', 'kendaraan', 'listrik', 'di', 'tengah', 'masyarakat']","['upaya', 'diharapkan', 'indonesia', 'berkontribusi', 'menurunkan', 'emisi', 'karbon', 'seiring', 'didorongnya', 'penggunaan', 'kendaraan', 'listrik', 'masyarakat']",upaya harap indonesia kontribusi turun emisi karbon iring dorong guna kendara listrik masyarakat
Hai #Investeam!  Tren kendaraan listrik di Indonesia terus berkembang pesat dari tahun ke tahun. Presiden Jokowi juga menetapkan Perpres Nomor 55 Tahun 2019 tentang percepatan program kendaraan bermotor listrik berbasis baterai (battery electric vehicle) untuk transportasi darat. https://t.co/dTQd897lFY,Hai Investeam  Tren kendaraan listrik di Indonesia terus berkembang pesat dari tahun ke tahun Presiden Jokowi juga menetapkan Perpres Nomor  Tahun  tentang percepatan program kendaraan bermotor listrik berbasis baterai battery electric vehicle untuk transportasi darat,"['hai', 'investeam', 'tren', 'kendaraan', 'listrik', 'di', 'indonesia', 'terus', 'berkembang', 'pesat', 'dari', 'tahun', 'ke', 'tahun', 'presiden', 'jokowi', 'juga', 'menetapkan', 'perpres', 'nomor', 'tahun', 'tentang', 'percepatan', 'program', 'kendaraan', 'bermotor', 'listrik', 'berbasis', 'baterai', 'battery', 'electric', 'vehicle', 'untuk', 'transportasi', 'darat']","['hai', 'investeam', 'tren', 'kendaraan', 'listrik', 'indonesia', 'berkembang', 'pesat', 'presiden', 'jokowi', 'menetapkan', 'perpres', 'nomor', 'percepatan', 'program', 'kendaraan', 'bermotor', 'listrik', 'berbasis', 'baterai', 'battery', 'electric', 'vehicle', 'transportasi', 'darat']",hai investeam tren kendara listrik indonesia kembang pesat presiden jokowi tetap pres nomor cepat program kendara motor listrik bas baterai battery electric vehicle transportasi darat
"Kendaraan Listrik Indonesia Makin Diminati, Ini Buktinya https://t.co/Nuyvfb2Flc",Kendaraan Listrik Indonesia Makin Diminati Ini Buktinya,"['kendaraan', 'listrik', 'indonesia', 'makin', 'diminati', 'ini', 'buktinya']","['kendaraan', 'listrik', 'indonesia', 'diminati', 'buktinya']",kendara listrik indonesia mati bukti
Mendag Zulkifli Hasan Ajak Produksi Kendaraan Listrik di Indonesia https://t.co/TTjrfejZev #TempoNasional,Mendag Zulkifli Hasan Ajak Produksi Kendaraan Listrik di Indonesia  TempoNasional,"['mendag', 'zulkifli', 'hasan', 'ajak', 'produksi', 'kendaraan', 'listrik', 'di', 'indonesia', 'temponasional']","['mendag', 'zulkifli', 'hasan', 'ajak', 'produksi', 'kendaraan', 'listrik', 'indonesia', 'temponasional']",mendag zulkifli hasan ajak produksi kendara listrik indonesia temponasional
Kemenperin dorong pengembangan ekosistem kendaraan listrik di Indonesia. Ini upayanya. https://t.co/SlbTgpnYtw,Kemenperin dorong pengembangan ekosistem kendaraan listrik di Indonesia Ini upayanya,"['kemenperin', 'dorong', 'pengembangan', 'ekosistem', 'kendaraan', 'listrik', 'di', 'indonesia', 'ini', 'upayanya']","['kemenperin', 'dorong', 'pengembangan', 'ekosistem', 'kendaraan', 'listrik', 'indonesia', 'upayanya']",kemenperin dorong kembang ekosistem kendara listrik indonesia upaya
"Agenda yang diselenggarakan oleh Bank Indonesia bersama KBRI Beijing ini bertujuan untuk meningkatkan investasi China ke Indonesia sekaligus mengakselerasi kerja sama di berbagai bidang, seperti industri kendaraan listrik, energi terbarukan, hingga IKN. https://t.co/JR3M2I5LA0",Agenda yang diselenggarakan oleh Bank Indonesia bersama KBRI Beijing ini bertujuan untuk meningkatkan investasi China ke Indonesia sekaligus mengakselerasi kerja sama di berbagai bidang seperti industri kendaraan listrik energi terbarukan hingga IKN,"['agenda', 'yang', 'diselenggarakan', 'oleh', 'bank', 'indonesia', 'bersama', 'kbri', 'beijing', 'ini', 'bertujuan', 'untuk', 'meningkatkan', 'investasi', 'china', 'ke', 'indonesia', 'sekaligus', 'mengakselerasi', 'kerja', 'sama', 'di', 'berbagai', 'bidang', 'seperti', 'industri', 'kendaraan', 'listrik', 'energi', 'terbarukan', 'hingga', 'ikn']","['agenda', 'diselenggarakan', 'bank', 'indonesia', 'kbri', 'beijing', 'bertujuan', 'meningkatkan', 'investasi', 'china', 'indonesia', 'mengakselerasi', 'kerja', 'bidang', 'industri', 'kendaraan', 'listrik', 'energi', 'terbarukan', 'ikn']",agenda selenggara bank indonesia kbri beijing tuju tingkat investasi china indonesia akselerasi kerja bidang industri kendara listrik energi baru ikn
"Percepat Ekosistem Kendaraan Listrik, Indonesia Punya 2 Pabrik Baterai https://t.co/rwYwwBqC6h via @vibizmediacom https://t.co/mrE524XsIX",Percepat Ekosistem Kendaraan Listrik Indonesia Punya  Pabrik Baterai  via vibizmediacom,"['percepat', 'ekosistem', 'kendaraan', 'listrik', 'indonesia', 'punya', 'pabrik', 'baterai', 'via', 'vibizmediacom']","['percepat', 'ekosistem', 'kendaraan', 'listrik', 'indonesia', 'pabrik', 'baterai', 'via', 'vibizmediacom']",cepat ekosistem kendara listrik indonesia pabrik baterai via vibizmediacom
"Dalam rangka memastikan keberlanjutan ekonomi, pemerintah Indonesia mengimplementasikan kebijakan yang mendorong penggunaan transportasi umum, serta mempromosikan pengembangan kendaraan listrik #arsjadrasjid #ekonomihijau #inklusifkolaboratif https://t.co/GMaFrjmoPW",Dalam rangka memastikan keberlanjutan ekonomi pemerintah Indonesia mengimplementasikan kebijakan yang mendorong penggunaan transportasi umum serta mempromosikan pengembangan kendaraan listrik arsjadrasjid ekonomihijau inklusifkolaboratif,"['dalam', 'rangka', 'memastikan', 'keberlanjutan', 'ekonomi', 'pemerintah', 'indonesia', 'mengimplementasikan', 'kebijakan', 'yang', 'mendorong', 'penggunaan', 'transportasi', 'umum', 'serta', 'mempromosikan', 'pengembangan', 'kendaraan', 'listrik', 'arsjadrasjid', 'ekonomihijau', 'inklusifkolaboratif']","['rangka', 'keberlanjutan', 'ekonomi', 'pemerintah', 'indonesia', 'mengimplementasikan', 'kebijakan', 'mendorong', 'penggunaan', 'transportasi', 'mempromosikan', 'pengembangan', 'kendaraan', 'listrik', 'arsjadrasjid', 'ekonomihijau', 'inklusifkolaboratif']",rangka lanjut ekonomi perintah indonesia implementasi bijak dorong guna transportasi promosi kembang kendara listrik arsjadrasjid ekonomihijau inklusifkolaboratif
"Pemimpin chip kecerdasan buatan (AI), Nvidia berkolaborasi dengan Foxconn guna mengembangkan pabrik-pabrik AI untuk meningkatkan kendaraan listrik masa depan dan membuat kendaraan otonom (AV) lebih aman, kata CEO Nvidia Jensen Huang di Taipei, pada Rabu (18/10). https://t.co/6FznHzT52N",Pemimpin chip kecerdasan buatan AI Nvidia berkolaborasi dengan Foxconn guna mengembangkan pabrikpabrik AI untuk meningkatkan kendaraan listrik masa depan dan membuat kendaraan otonom AV lebih aman kata CEO Nvidia Jensen Huang di Taipei pada Rabu,"['pemimpin', 'chip', 'kecerdasan', 'buatan', 'ai', 'nvidia', 'berkolaborasi', 'dengan', 'foxconn', 'guna', 'mengembangkan', 'pabrikpabrik', 'ai', 'untuk', 'meningkatkan', 'kendaraan', 'listrik', 'masa', 'depan', 'dan', 'membuat', 'kendaraan', 'otonom', 'av', 'lebih', 'aman', 'kata', 'ceo', 'nvidia', 'jensen', 'huang', 'di', 'taipei', 'pada', 'rabu']","['pemimpin', 'chip', 'kecerdasan', 'buatan', 'ai', 'nvidia', 'berkolaborasi', 'foxconn', 'mengembangkan', 'pabrikpabrik', 'ai', 'meningkatkan', 'kendaraan', 'listrik', 'kendaraan', 'otonom', 'av', 'aman', 'ceo', 'nvidia', 'jensen', 'huang', 'taipei', 'rabu']",pimpin chip cerdas buat ai nvidia kolaborasi foxconn kembang pabrikpabrik ai tingkat kendara listrik kendara otonom av aman ceo nvidia jensen huang taipei rabu
"Pameran sepeda motor terbesar di Indonesia hadir di ICE - BSD City, Kab. Tangerang.  Tanggal 25 - 29 Oktober 2023, Indonesia Motorcycle Show (IMOS) akan hadir dengan deretan merek sepeda motor, motor listrik serta sparepart dan aksesoris kendaraan roda dua.  Tidak hanya melihat… https://t.co/QRuL54ZJUO",Pameran sepeda motor terbesar di Indonesia hadir di ICE  BSD City Kab Tangerang  Tanggal    Oktober  Indonesia Motorcycle Show IMOS akan hadir dengan deretan merek sepeda motor motor listrik serta sparepart dan aksesoris kendaraan roda dua  Tidak hanya melihat…,"['pameran', 'sepeda', 'motor', 'terbesar', 'di', 'indonesia', 'hadir', 'di', 'ice', 'bsd', 'city', 'kab', 'tangerang', 'tanggal', 'oktober', 'indonesia', 'motorcycle', 'show', 'imos', 'akan', 'hadir', 'dengan', 'deretan', 'merek', 'sepeda', 'motor', 'motor', 'listrik', 'serta', 'sparepart', 'dan', 'aksesoris', 'kendaraan', 'roda', 'dua', 'tidak', 'hanya', 'melihat…']","['pameran', 'sepeda', 'motor', 'terbesar', 'indonesia', 'hadir', 'ice', 'bsd', 'city', 'kab', 'tangerang', 'tanggal', 'oktober', 'indonesia', 'motorcycle', 'show', 'imos', 'hadir', 'deretan', 'merek', 'sepeda', 'motor', 'motor', 'listrik', 'sparepart', 'aksesoris', 'kendaraan', 'roda', 'melihat…']",pamer sepeda motor besar indonesia hadir ice bsd city kab tangerang tanggal oktober indonesia motorcycle show imos hadir deret merek sepeda motor motor listrik sparepart aksesoris kendara roda lihat
Mendag ajak produsen kendaraan listrik China untuk berproduksi di Indonesia. #bisnisupdate #update #bisnis #text https://t.co/2ZQBWvBiHP,Mendag ajak produsen kendaraan listrik China untuk berproduksi di Indonesia bisnisupdate update bisnis text,"['mendag', 'ajak', 'produsen', 'kendaraan', 'listrik', 'china', 'untuk', 'berproduksi', 'di', 'indonesia', 'bisnisupdate', 'update', 'bisnis', 'text']","['mendag', 'ajak', 'produsen', 'kendaraan', 'listrik', 'china', 'berproduksi', 'indonesia', 'bisnisupdate', 'update', 'bisnis', 'text']",mendag ajak produsen kendara listrik china produksi indonesia bisnisupdate update bisnis text
"Pertemuan Indonesia-China upayakan peningkatan kerja sama di sektor investasi kendaraan listrik dan otomotif, pabrik suku cadang, kilang petrokimia, produksi baja, hingga pengembangan Halal Center. https://t.co/TpfjeTyL20",Pertemuan IndonesiaChina upayakan peningkatan kerja sama di sektor investasi kendaraan listrik dan otomotif pabrik suku cadang kilang petrokimia produksi baja hingga pengembangan Halal Center,"['pertemuan', 'indonesiachina', 'upayakan', 'peningkatan', 'kerja', 'sama', 'di', 'sektor', 'investasi', 'kendaraan', 'listrik', 'dan', 'otomotif', 'pabrik', 'suku', 'cadang', 'kilang', 'petrokimia', 'produksi', 'baja', 'hingga', 'pengembangan', 'halal', 'center']","['pertemuan', 'indonesiachina', 'upayakan', 'peningkatan', 'kerja', 'sektor', 'investasi', 'kendaraan', 'listrik', 'otomotif', 'pabrik', 'suku', 'cadang', 'kilang', 'petrokimia', 'produksi', 'baja', 'pengembangan', 'halal', 'center']",temu indonesiachina upaya tingkat kerja sektor investasi kendara listrik otomotif pabrik suku cadang kilang petrokimia produksi baja kembang halal center
Semakin banyak industri kendaraan listrik di Indonesia akan semakin baik.. Karena kendaraan listrik perlahan akan menggantikan kendaraan berbahan bakar fosil  Mendag Zulhas Bujuk Produsen China Produksi Kendaraan Listrik di RI  Menteri Perdagangan @ZUL_Hasan atau Zulhas membujuk… https://t.co/Ya3Htmru9O,Semakin banyak industri kendaraan listrik di Indonesia akan semakin baik Karena kendaraan listrik perlahan akan menggantikan kendaraan berbahan bakar fosil  Mendag Zulhas Bujuk Produsen China Produksi Kendaraan Listrik di RI  Menteri Perdagangan ZULHasan atau Zulhas membujuk…,"['semakin', 'banyak', 'industri', 'kendaraan', 'listrik', 'di', 'indonesia', 'akan', 'semakin', 'baik', 'karena', 'kendaraan', 'listrik', 'perlahan', 'akan', 'menggantikan', 'kendaraan', 'berbahan', 'bakar', 'fosil', 'mendag', 'zulhas', 'bujuk', 'produsen', 'china', 'produksi', 'kendaraan', 'listrik', 'di', 'ri', 'menteri', 'perdagangan', 'zulhasan', 'atau', 'zulhas', 'membujuk…']","['industri', 'kendaraan', 'listrik', 'indonesia', 'kendaraan', 'listrik', 'perlahan', 'menggantikan', 'kendaraan', 'berbahan', 'bakar', 'fosil', 'mendag', 'zulhas', 'bujuk', 'produsen', 'china', 'produksi', 'kendaraan', 'listrik', 'ri', 'menteri', 'perdagangan', 'zulhasan', 'zulhas', 'membujuk…']",industri kendara listrik indonesia kendara listrik perlahan ganti kendara bahan bakar fosil mendag zulhas bujuk produsen china produksi kendara listrik ri menteri dagang zulhasan zulhas bujuk
"Presiden China Xi Jinping ingin perluas kerja sama dengan Indonesia, mulai dari ekonomi digital, kendaraan listrik, hingga impor produk pertanian. #bisnisupdate #update #bisnis #text https://t.co/mwRmASc5Nf",Presiden China Xi Jinping ingin perluas kerja sama dengan Indonesia mulai dari ekonomi digital kendaraan listrik hingga impor produk pertanian bisnisupdate update bisnis text,"['presiden', 'china', 'xi', 'jinping', 'ingin', 'perluas', 'kerja', 'sama', 'dengan', 'indonesia', 'mulai', 'dari', 'ekonomi', 'digital', 'kendaraan', 'listrik', 'hingga', 'impor', 'produk', 'pertanian', 'bisnisupdate', 'update', 'bisnis', 'text']","['presiden', 'china', 'xi', 'jinping', 'perluas', 'kerja', 'indonesia', 'ekonomi', 'digital', 'kendaraan', 'listrik', 'impor', 'produk', 'pertanian', 'bisnisupdate', 'update', 'bisnis', 'text']",presiden china xi jinping luas kerja indonesia ekonomi digital kendara listrik impor produk tani bisnisupdate update bisnis text
Indonesia Tawarkan Kemudahan Investasi kepada 2 Produsen Kendaraan Listrik China   https://t.co/EX4IC46jgd,Indonesia Tawarkan Kemudahan Investasi kepada  Produsen Kendaraan Listrik China,"['indonesia', 'tawarkan', 'kemudahan', 'investasi', 'kepada', 'produsen', 'kendaraan', 'listrik', 'china']","['indonesia', 'tawarkan', 'kemudahan', 'investasi', 'produsen', 'kendaraan', 'listrik', 'china']",indonesia tawar mudah investasi produsen kendara listrik china
"Pak @ganjarpranowo dan pak @mohmahfudmd berani kah bapak berdua membuat trobosan baru, utk industri dlm negeri. Cina memboikot iphone menaikkan huawei, bagaimana indonesia. Bangun motor listrik batasi kendaraan lain.",Pak ganjarpranowo dan pak mohmahfudmd berani kah bapak berdua membuat trobosan baru utk industri dlm negeri Cina memboikot iphone menaikkan huawei bagaimana indonesia Bangun motor listrik batasi kendaraan lain,"['pak', 'ganjarpranowo', 'dan', 'pak', 'mohmahfudmd', 'berani', 'kah', 'bapak', 'berdua', 'membuat', 'trobosan', 'baru', 'utk', 'industri', 'dlm', 'negeri', 'cina', 'memboikot', 'iphone', 'menaikkan', 'huawei', 'bagaimana', 'indonesia', 'bangun', 'motor', 'listrik', 'batasi', 'kendaraan', 'lain']","['ganjarpranowo', 'mohmahfudmd', 'berani', 'kah', 'berdua', 'trobosan', 'utk', 'industri', 'dlm', 'negeri', 'cina', 'memboikot', 'iphone', 'menaikkan', 'huawei', 'indonesia', 'bangun', 'motor', 'listrik', 'batasi', 'kendaraan']",ganjarpranowo mohmahfudmd berani kah dua trobosan utk industri dlm negeri cina boikot iphone naik huawei indonesia bangun motor listrik batas kendara
Mendag ajak produsen kendaraan listrik China berproduksi di Indonesia  https://t.co/fEFuBtMl7K,Mendag ajak produsen kendaraan listrik China berproduksi di Indonesia,"['mendag', 'ajak', 'produsen', 'kendaraan', 'listrik', 'china', 'berproduksi', 'di', 'indonesia']","['mendag', 'ajak', 'produsen', 'kendaraan', 'listrik', 'china', 'berproduksi', 'indonesia']",mendag ajak produsen kendara listrik china produksi indonesia
Pengadopsian Kendaraan Listrik di Indonesia Dinilai Masih Lambat Ketimbang Pasar Global #kendaraanlistrik https://t.co/5qAoHB9G9X,Pengadopsian Kendaraan Listrik di Indonesia Dinilai Masih Lambat Ketimbang Pasar Global kendaraanlistrik,"['pengadopsian', 'kendaraan', 'listrik', 'di', 'indonesia', 'dinilai', 'masih', 'lambat', 'ketimbang', 'pasar', 'global', 'kendaraanlistrik']","['pengadopsian', 'kendaraan', 'listrik', 'indonesia', 'dinilai', 'lambat', 'ketimbang', 'pasar', 'global', 'kendaraanlistrik']",adopsi kendara listrik indonesia nilai lambat ketimbang pasar global kendaraanlistrik
