full_text,cleansing,Tokenization and Case Folding,stopword removal,stemming_data
Indonesia terbuka utk kerja sama &amp  kolaborasi dgn negara² mitra utk pengembangan kendaraan listrik bersm  Kemendag Zulhas memiliki berbagai upaya &amp  program prioritas utk mendukung ekspor Dgn kerja sama ini berhrp industri dlm negeri tumbuh &amp  ekspor kendaraan listrik akan melonjak https://t.co/I9I9e03wRP,Indonesia terbuka utk kerja sama amp  kolaborasi dgn negara² mitra utk pengembangan kendaraan listrik bersm  Kemendag Zulhas memiliki berbagai upaya amp  program prioritas utk mendukung ekspor Dgn kerja sama ini berhrp industri dlm negeri tumbuh amp  ekspor kendaraan listrik akan melonjak,"['indonesia', 'terbuka', 'utk', 'kerja', 'sama', 'amp', 'kolaborasi', 'dgn', 'negara²', 'mitra', 'utk', 'pengembangan', 'kendaraan', 'listrik', 'bersm', 'kemendag', 'zulhas', 'memiliki', 'berbagai', 'upaya', 'amp', 'program', 'prioritas', 'utk', 'mendukung', 'ekspor', 'dgn', 'kerja', 'sama', 'ini', 'berhrp', 'industri', 'dlm', 'negeri', 'tumbuh', 'amp', 'ekspor', 'kendaraan', 'listrik', 'akan', 'melonjak']","['indonesia', 'terbuka', 'utk', 'kerja', 'amp', 'kolaborasi', 'dgn', 'negara²', 'mitra', 'utk', 'pengembangan', 'kendaraan', 'listrik', 'bersm', 'kemendag', 'zulhas', 'memiliki', 'upaya', 'amp', 'program', 'prioritas', 'utk', 'mendukung', 'ekspor', 'dgn', 'kerja', 'berhrp', 'industri', 'dlm', 'negeri', 'tumbuh', 'amp', 'ekspor', 'kendaraan', 'listrik', 'melonjak']",indonesia buka utk kerja amp kolaborasi dgn negara mitra utk kembang kendara listrik bersm kemendag zulhas milik upaya amp program prioritas utk dukung ekspor dgn kerja berhrp industri dlm negeri tumbuh amp ekspor kendara listrik lonjak
Assalamualaikum sahabat X land Selamat Pagiii di Jumat Berkah🤗 Mendag Zulkifli Hasan menerima kunjungan delegasi Vingroup/VinFast Vietnam di Kantor Kemendag Pertemuan membahas tentang peluang kerja sama &amp  investasi antara Indonesia dan Vietnam di bidang kendaraan listrik https://t.co/Occ8dbQrbJ,Assalamualaikum sahabat X land Selamat Pagiii di Jumat Berkah🤗 Mendag Zulkifli Hasan menerima kunjungan delegasi VingroupVinFast Vietnam di Kantor Kemendag Pertemuan membahas tentang peluang kerja sama amp  investasi antara Indonesia dan Vietnam di bidang kendaraan listrik,"['assalamualaikum', 'sahabat', 'x', 'land', 'selamat', 'pagiii', 'di', 'jumat', 'berkah🤗', 'mendag', 'zulkifli', 'hasan', 'menerima', 'kunjungan', 'delegasi', 'vingroupvinfast', 'vietnam', 'di', 'kantor', 'kemendag', 'pertemuan', 'membahas', 'tentang', 'peluang', 'kerja', 'sama', 'amp', 'investasi', 'antara', 'indonesia', 'dan', 'vietnam', 'di', 'bidang', 'kendaraan', 'listrik']","['assalamualaikum', 'sahabat', 'x', 'land', 'selamat', 'pagiii', 'jumat', 'berkah🤗', 'mendag', 'zulkifli', 'hasan', 'menerima', 'kunjungan', 'delegasi', 'vingroupvinfast', 'vietnam', 'kantor', 'kemendag', 'pertemuan', 'membahas', 'peluang', 'kerja', 'amp', 'investasi', 'indonesia', 'vietnam', 'bidang', 'kendaraan', 'listrik']",assalamualaikum sahabat x land selamat pagiii jumat berkah mendag zulkifli hasan terima kunjung delegasi vingroupvinfast vietnam kantor kemendag temu bahas peluang kerja amp investasi indonesia vietnam bidang kendara listrik
Populasi Kendaraan Listrik di Indonesia Tumbuh Signifikan https://t.co/1fE5UD9mrL #KendaraanListrik,Populasi Kendaraan Listrik di Indonesia Tumbuh Signifikan  KendaraanListrik,"['populasi', 'kendaraan', 'listrik', 'di', 'indonesia', 'tumbuh', 'signifikan', 'kendaraanlistrik']","['populasi', 'kendaraan', 'listrik', 'indonesia', 'tumbuh', 'signifikan', 'kendaraanlistrik']",populasi kendara listrik indonesia tumbuh signifikan kendaraanlistrik
"Keren banget sihhh, Indonesia jadi pusat Industri Baterai EV di dunia untuk kendaraan listrik dan banyak perusahaan raksasa dunia yang berinvestasi!   #Investasi630T",Keren banget sihhh Indonesia jadi pusat Industri Baterai EV di dunia untuk kendaraan listrik dan banyak perusahaan raksasa dunia yang berinvestasi   InvestasiT,"['keren', 'banget', 'sihhh', 'indonesia', 'jadi', 'pusat', 'industri', 'baterai', 'ev', 'di', 'dunia', 'untuk', 'kendaraan', 'listrik', 'dan', 'banyak', 'perusahaan', 'raksasa', 'dunia', 'yang', 'berinvestasi', 'investasit']","['keren', 'banget', 'sihhh', 'indonesia', 'pusat', 'industri', 'baterai', 'ev', 'dunia', 'kendaraan', 'listrik', 'perusahaan', 'raksasa', 'dunia', 'berinvestasi', 'investasit']",keren banget sihhh indonesia pusat industri baterai ev dunia kendara listrik usaha raksasa dunia investasi investasit
"Berkat kerja keras pak bahlil indonesia jd banyak dilirik dunia, menjadi pusat industri bateri EV kendaraan listrik. Good job pakkk lanjutkan 🔥 https://t.co/dfVxzbpx4C",Berkat kerja keras pak bahlil indonesia jd banyak dilirik dunia menjadi pusat industri bateri EV kendaraan listrik Good job pakkk lanjutkan 🔥,"['berkat', 'kerja', 'keras', 'pak', 'bahlil', 'indonesia', 'jd', 'banyak', 'dilirik', 'dunia', 'menjadi', 'pusat', 'industri', 'bateri', 'ev', 'kendaraan', 'listrik', 'good', 'job', 'pakkk', 'lanjutkan', '🔥']","['berkat', 'kerja', 'keras', 'bahlil', 'indonesia', 'jd', 'dilirik', 'dunia', 'pusat', 'industri', 'bateri', 'ev', 'kendaraan', 'listrik', 'good', 'job', 'pakkk', 'lanjutkan', '🔥']",berkat kerja keras bahlil indonesia jd lirik dunia pusat industri bateri ev kendara listrik good job pakkk lanjut
"Menteri Investasi Bahlil Lahadalia mengungkapkan, hilirisasi nikel telah mnjdikan Indonesia sbagai pusat produksi baterai kndaraan listrik. Ia mngatakan total investasi baterai kendaraan listrik di Indonesia pda 2020-2023 mncapai USD 42 miliar  Industri Baterai EV #Investasi630T",Menteri Investasi Bahlil Lahadalia mengungkapkan hilirisasi nikel telah mnjdikan Indonesia sbagai pusat produksi baterai kndaraan listrik Ia mngatakan total investasi baterai kendaraan listrik di Indonesia pda  mncapai USD  miliar  Industri Baterai EV InvestasiT,"['menteri', 'investasi', 'bahlil', 'lahadalia', 'mengungkapkan', 'hilirisasi', 'nikel', 'telah', 'mnjdikan', 'indonesia', 'sbagai', 'pusat', 'produksi', 'baterai', 'kndaraan', 'listrik', 'ia', 'mngatakan', 'total', 'investasi', 'baterai', 'kendaraan', 'listrik', 'di', 'indonesia', 'pda', 'mncapai', 'usd', 'miliar', 'industri', 'baterai', 'ev', 'investasit']","['menteri', 'investasi', 'bahlil', 'lahadalia', 'hilirisasi', 'nikel', 'mnjdikan', 'indonesia', 'sbagai', 'pusat', 'produksi', 'baterai', 'kndaraan', 'listrik', 'mngatakan', 'total', 'investasi', 'baterai', 'kendaraan', 'listrik', 'indonesia', 'pda', 'mncapai', 'usd', 'miliar', 'industri', 'baterai', 'ev', 'investasit']",menteri investasi bahlil lahadalia hilir nikel mnjdikan indonesia sbagai pusat produksi baterai kndaraan listrik mngatakan total investasi baterai kendara listrik indonesia pda mncapai usd miliar industri baterai ev investasit
"@angkytm dan rakyat perkotaan indonesia masih aja seenaknya, ga merasa bersalah gunain kendaraan pribadi listrik.  jalan kaki 2km aja ga sanggup..",angkytm dan rakyat perkotaan indonesia masih aja seenaknya ga merasa bersalah gunain kendaraan pribadi listrik  jalan kaki km aja ga sanggup,"['angkytm', 'dan', 'rakyat', 'perkotaan', 'indonesia', 'masih', 'aja', 'seenaknya', 'ga', 'merasa', 'bersalah', 'gunain', 'kendaraan', 'pribadi', 'listrik', 'jalan', 'kaki', 'km', 'aja', 'ga', 'sanggup']","['angkytm', 'rakyat', 'perkotaan', 'indonesia', 'aja', 'ga', 'bersalah', 'gunain', 'kendaraan', 'pribadi', 'listrik', 'jalan', 'kaki', 'km', 'aja', 'ga', 'sanggup']",angkytm rakyat kota indonesia aja ga salah gunain kendara pribadi listrik jalan kaki km aja ga sanggup
Indonesia dilirik dunia karena menjadi pusat produksi Industri Baterai EV untuk kendaraan listrik dan juga berkat kinerja menteri investasi @bahlillahadalia banyak investor yg tertarik hingga investasi industri tersebut mencapai Rp 630T. Mantap pakk !   #Investasi630T https://t.co/ox7pQLTiuF,Indonesia dilirik dunia karena menjadi pusat produksi Industri Baterai EV untuk kendaraan listrik dan juga berkat kinerja menteri investasi bahlillahadalia banyak investor yg tertarik hingga investasi industri tersebut mencapai Rp T Mantap pakk    InvestasiT,"['indonesia', 'dilirik', 'dunia', 'karena', 'menjadi', 'pusat', 'produksi', 'industri', 'baterai', 'ev', 'untuk', 'kendaraan', 'listrik', 'dan', 'juga', 'berkat', 'kinerja', 'menteri', 'investasi', 'bahlillahadalia', 'banyak', 'investor', 'yg', 'tertarik', 'hingga', 'investasi', 'industri', 'tersebut', 'mencapai', 'rp', 't', 'mantap', 'pakk', 'investasit']","['indonesia', 'dilirik', 'dunia', 'pusat', 'produksi', 'industri', 'baterai', 'ev', 'kendaraan', 'listrik', 'berkat', 'kinerja', 'menteri', 'investasi', 'bahlillahadalia', 'investor', 'yg', 'tertarik', 'investasi', 'industri', 'mencapai', 'rp', 't', 'mantap', 'pakk', 'investasit']",indonesia lirik dunia pusat produksi industri baterai ev kendara listrik berkat kerja menteri investasi bahlillahadalia investor yg tarik investasi industri capai rp t mantap pakk investasit
"Nah, dengan kondisi seperti ini, bagaimana Indonesia bisa mengikuti tren global produksi dan penjualan kendaraan listrik? mungkin kita perlu mengurangi ketergantungan pd produsen asal Jepang. Krn, kalau menunggu Jepang, di negara asalnya saja mereka cukup lambat utk beradaptasi.",Nah dengan kondisi seperti ini bagaimana Indonesia bisa mengikuti tren global produksi dan penjualan kendaraan listrik mungkin kita perlu mengurangi ketergantungan pd produsen asal Jepang Krn kalau menunggu Jepang di negara asalnya saja mereka cukup lambat utk beradaptasi,"['nah', 'dengan', 'kondisi', 'seperti', 'ini', 'bagaimana', 'indonesia', 'bisa', 'mengikuti', 'tren', 'global', 'produksi', 'dan', 'penjualan', 'kendaraan', 'listrik', 'mungkin', 'kita', 'perlu', 'mengurangi', 'ketergantungan', 'pd', 'produsen', 'asal', 'jepang', 'krn', 'kalau', 'menunggu', 'jepang', 'di', 'negara', 'asalnya', 'saja', 'mereka', 'cukup', 'lambat', 'utk', 'beradaptasi']","['kondisi', 'indonesia', 'mengikuti', 'tren', 'global', 'produksi', 'penjualan', 'kendaraan', 'listrik', 'mengurangi', 'ketergantungan', 'pd', 'produsen', 'jepang', 'krn', 'menunggu', 'jepang', 'negara', 'asalnya', 'lambat', 'utk', 'beradaptasi']",kondisi indonesia ikut tren global produksi jual kendara listrik kurang gantung pd produsen jepang krn tunggu jepang negara asal lambat utk adaptasi
"Bagaimana dgn Indonesia?  Secara umum, penjualan kendaraan listrik masih cukup rendah. Tahun 2022 lalu, masih 1% dari total penjualan kendaraan bermotor. Peningkatan drastis baru terjadi di semester 2, setelah pandemi pulih dan banyak insentif diberi. https://t.co/QxpHTI9CW9",Bagaimana dgn Indonesia  Secara umum penjualan kendaraan listrik masih cukup rendah Tahun  lalu masih  dari total penjualan kendaraan bermotor Peningkatan drastis baru terjadi di semester  setelah pandemi pulih dan banyak insentif diberi,"['bagaimana', 'dgn', 'indonesia', 'secara', 'umum', 'penjualan', 'kendaraan', 'listrik', 'masih', 'cukup', 'rendah', 'tahun', 'lalu', 'masih', 'dari', 'total', 'penjualan', 'kendaraan', 'bermotor', 'peningkatan', 'drastis', 'baru', 'terjadi', 'di', 'semester', 'setelah', 'pandemi', 'pulih', 'dan', 'banyak', 'insentif', 'diberi']","['dgn', 'indonesia', 'penjualan', 'kendaraan', 'listrik', 'rendah', 'total', 'penjualan', 'kendaraan', 'bermotor', 'peningkatan', 'drastis', 'semester', 'pandemi', 'pulih', 'insentif']",dgn indonesia jual kendara listrik rendah total jual kendara motor tingkat drastis semester pandemi pulih insentif
